Timestamp,Hora,Valor do Microfone
1741901748,21:35:49,60.7
1741901751,21:35:51,61.15385
1741901752,21:35:56,61.95385
1741901757,21:35:57,60.1
1741901758,21:35:59,65.8
1741901759,21:36:00,66.2
1741901760,21:36:00,64.50769
1741901761,21:36:01,61.76923
1741901762,21:36:02,61
1741901763,21:36:04,61.46154
1741901764,21:36:04,61.15385
1741901765,21:36:05,59.2
1741901766,21:36:06,61.09231
1741901767,21:36:08,61
1741901768,21:36:09,60.7
1741901769,21:36:09,58.25
1741901770,21:36:10,61
1741901771,21:36:12,61.15385
1741901772,21:36:13,62.07692
1741901773,21:36:13,59.6
1741901774,21:36:14,61.30769
1741901775,21:36:15,61.27692
1741901776,21:36:17,61.46154
1741901777,21:36:18,61
1741901778,21:36:18,62.07692
1741901779,21:36:19,60.1
1741901780,21:36:20,62.75385
1741901781,21:36:22,61.15385
1741901782,21:36:22,60.4
1741901783,21:36:23,61.27692
1741901784,21:36:24,60.3
1741901785,21:36:26,61.21539
1741901786,21:36:27,61.46154
1741901787,21:36:27,61
1741901788,21:36:28,62.90769
1741901789,21:36:29,61.46154
1741901790,21:36:30,60.7
1742569071,14:57:53,73.625
1742569073,14:57:53,73.225
1742569074,14:57:54,73.1
1742569075,14:57:56,73.85
1742569076,14:57:56,80
1742569077,14:57:57,73.875
1742569078,14:57:58,73.35
1742569079,14:58:00,73.925
1742569080,14:58:00,73.175
1742569081,14:58:01,73.375
1742569082,14:58:02,72.725
1742569083,14:58:04,73.025
1742569084,14:58:04,80
1742569085,14:58:05,72.175
1742569086,14:58:06,72.5
1742569087,14:58:08,72.075
1742569088,14:58:09,71.725
1742569089,14:58:09,71.725
1742569090,14:58:10,71.7
1742569091,14:58:11,72.5
1742569092,14:58:13,72.05
1742569093,14:58:13,71.7
1742569094,14:58:14,71.675
1742569095,14:58:15,71.7
1742569096,14:58:17,72.35
1742569097,14:58:18,71.325
1742569098,14:58:18,71.25
1742569099,14:58:19,71.325
1742569100,14:58:21,71.7
1742569101,14:58:22,71.525
1742569102,14:58:22,72.525
1742569103,14:58:23,71.475
1742569104,14:58:24,71.7
1742569105,14:58:26,80
1742569106,14:58:26,77.3
1742569107,Desconhecido,71.65
1742573721,16:15:23,73.375
1742573723,16:15:24,76.85
1742573724,16:15:25,72.5
1742573726,16:15:26,67.54
1742573727,16:15:27,78.55
1742573728,16:15:28,75.175
1742573729,16:15:30,65.8
1742573730,16:15:31,70.975
1742573732,16:15:32,74
1742573733,16:15:33,76.75
1742573734,16:15:34,67.78
1742573735,16:15:35,67.66
1742573736,16:15:36,69.82
1742573737,16:15:37,75.725
1742573738,16:15:38,68.1
1742573739,16:15:39,75.7
1742573740,16:15:40,59.5
1742573741,16:15:42,67.52
1742573742,16:15:43,67.06
1742573743,16:15:44,77.45
1742573745,16:15:45,77.9
1742573746,16:15:46,80
1742573747,16:15:47,70.6
1742573748,16:15:48,66.12
1742573749,16:15:49,73.375
1742573750,16:15:50,76.525
1742573751,16:15:51,67.16
1742573752,16:15:52,80
1742573753,16:15:53,61
1742573754,16:15:54,77.95
1742573755,16:15:55,77.175
1742573756,16:15:56,60.1
1742573757,16:15:58,78.525
1742573758,16:15:59,69.32
1742573759,16:16:00,69.86
1742573760,16:16:01,64.04615
1742573761,16:16:02,72.275
1742573762,16:16:03,80
1742573763,16:16:04,74.95
1742573764,16:16:05,75.175
1742573765,16:16:06,75.925
1742573767,16:16:07,69.42
1742573768,16:16:08,65.94
1742573769,16:16:09,76.95
1742573770,16:16:10,67.9
1742573771,16:16:11,63.61538
1742573772,16:16:13,70.175
1742573773,16:16:14,71.15
1742573774,16:16:15,67.22
1742573775,16:16:16,78.625
1742573776,16:16:17,68.22
1742573777,16:16:18,69.84
1742573778,16:16:19,71.3
1742573780,16:16:20,71.6
1742573781,16:16:21,73.45
1742573782,16:16:22,71.7
1742573783,16:16:23,76.925
1742573784,16:16:24,74.9
1742573785,16:16:25,73.175
1742573786,16:16:26,67.58
1742573787,16:16:27,70.05
1742573788,16:16:29,79.55
1742573789,16:16:30,68.08
1742573790,16:16:31,78.8
1742573791,16:16:32,77.275
1742573792,16:16:33,77.025
1742573793,16:16:34,70.35
1742573794,16:16:35,74.6
1742573795,16:16:36,68.8
1742573796,16:16:37,72.525
1742573797,16:16:38,80
1742573798,16:16:39,63.36923
1742573799,16:16:40,62.87692
1742573800,16:16:41,74.55
1742573801,16:16:42,69.44
1742573802,16:16:43,69.02
1742573803,16:16:44,80
1742573805,16:16:45,65.6
1742573806,16:16:46,80
1742573807,16:16:47,63.46154
1742573808,16:16:49,66.16
1742573809,16:16:50,63.12308
1742573810,16:16:51,79.425
1742573812,16:16:52,72.5
1742573813,16:16:53,62.29231
1742573814,16:16:54,69.1
1742573815,16:16:55,69.48
1742573816,16:16:56,69.02
1742573817,16:16:57,62.32308
1742573818,16:16:58,79.6
1742573819,16:16:59,64.2923
1742573820,16:17:00,80
1742573821,16:17:01,70.1
1742573822,16:17:03,71.15
1742573823,16:17:04,80
1742573824,16:17:05,77.475
1742573825,16:17:06,62.07692
1742573826,16:17:07,66.44
1742573827,16:17:08,80
1742573828,16:17:09,67.58
1742573829,16:17:10,74.9
1742573831,16:17:11,66.52
1742573832,16:17:12,65.66
1742573833,16:17:13,75.7
1742573834,16:17:14,75.475
1742573835,16:17:16,80
1742573836,16:17:17,79.45
1742573837,16:17:18,64.2923
1742573838,16:17:19,74.15
1742573840,16:17:20,78.15
1742573841,16:17:21,78.425
1742573842,16:17:23,73.025
1742573843,16:17:24,72.5
1742573844,16:17:25,74.1
1742573845,16:17:26,77.625
1742573846,16:17:27,71.45
1742573847,16:17:27,80
1742573848,16:17:29,80
1742573850,16:17:30,71.975
1742573851,16:17:32,76.1
1742573852,16:17:33,69.1
1742573854,16:17:34,76.175
1742573855,16:17:35,68.12
1742573856,16:17:36,68.04
1742573857,16:17:37,73.225
1742573858,16:17:38,76.05
1742573859,16:17:39,74.125
1742573860,16:17:40,62.56923
1742573861,16:17:41,69.18
1742573862,16:17:42,76.5
1742573863,16:17:43,77.6
1742573864,16:17:44,64.96923
1742573865,16:17:45,79.65
1742573866,16:17:46,68.5
1742573867,16:17:47,66.82
1742573868,16:17:48,70.25
1742573869,16:17:49,67.56
1742573870,16:17:50,63.98462
1742573871,16:17:51,79.875
1742573872,16:17:52,78.55
1742573873,16:17:53,67.1
1742573874,16:17:54,80
1742573875,16:17:55,73.3
1742573876,16:17:56,80
1742573877,16:17:57,67.3
1742573878,16:17:58,80
1742573879,16:18:00,72.1
1742573880,16:18:01,63.61538
1742573881,16:18:02,80
1742573883,16:18:03,64.93846
1742573884,16:18:04,79.325
1742573885,16:18:05,79.775
1742573886,16:18:06,80
1742573887,16:18:07,78.375
1742573888,16:18:08,76.45
1742573889,16:18:09,80
1742573890,16:18:10,73.85
1742573891,16:18:11,80
1742573892,16:18:12,77.65
1742573893,16:18:13,76.9
1742573894,16:18:14,76.475
1742573895,16:18:15,74.975
1742573896,16:18:16,78.375
1742573897,16:18:17,71.925
1742573898,16:18:18,76.125
1742573899,16:18:19,80
1742573900,16:18:20,69.8
1742573901,16:18:22,68.88
1742573903,16:18:23,72.625
1742573904,16:18:24,65.34
1742573905,16:18:27,72.025
1742573907,16:18:28,77.725
1742573908,16:18:29,79.075
1742573909,16:18:30,78.1
1742573910,16:18:31,76.725
1742573911,16:18:32,68.16
1742573912,16:18:33,67.22
1742573913,16:18:34,80
1742573914,16:18:35,75.925
1742573915,16:18:36,60.4
1742573916,16:18:37,76.225
1742573917,16:18:38,78.825
1742573918,16:18:39,78.85
1742573919,16:18:40,80
1742573921,16:18:41,73.875
1742573922,16:18:42,80
1742573923,16:18:43,75.675
1742573924,16:18:44,76.5
1742573925,16:18:45,59.4
1742573926,16:18:47,71.175
1742573927,16:18:48,70.4
1742573928,16:18:49,80
1742573929,16:18:50,79.85
1742573930,16:18:51,78.85
1742573931,16:18:52,77.125
1742573932,16:18:53,74.55
1742573933,16:18:54,74.025
1742573934,16:18:55,80
1742573935,16:18:56,68.26
1742573936,16:18:57,80
1742573938,16:18:58,72.825
1742573939,16:18:59,70.225
1742573940,16:19:00,65.1
1742573941,16:19:01,72.9
1742573942,16:19:03,74.925
1742573943,16:19:04,74.525
1742573944,16:19:05,69.46
1742573945,16:19:06,77.225
1742573946,16:19:07,80
1742573947,16:19:08,67.82
1742573948,16:19:09,71.275
1742573949,16:19:10,80
1742573950,16:19:11,73.225
1742573951,16:19:12,74.15
1742573952,16:19:13,80
1742573953,16:19:14,74.5
1742573954,16:19:15,80
1742573955,16:19:16,74.825
1742573957,16:19:17,80
1742573958,16:19:18,72.025
1742573959,16:19:19,68.42
1742573960,16:19:20,77.3
1742573961,16:19:21,78.075
1742573962,16:19:22,72.975
1742573963,16:19:23,78.1
1742573964,16:19:24,80
1742573965,16:19:25,80
1742573966,16:19:26,68.28
1742573967,16:19:27,68.5
1742573968,16:19:28,75.3
1742573969,16:19:29,74.125
1742573970,16:19:30,69.46
1742573971,16:19:31,64.87692
1742573972,16:19:32,68.24
1742573973,16:19:33,65.38
1742573974,16:19:34,64.93846
1742573975,16:19:36,61
1742573976,16:19:37,72.05
1742573977,16:19:38,68.16
1742573978,16:19:39,69.68
1742573979,16:19:40,77.55
1742573980,16:19:41,78.025
1742573981,16:19:42,71.15
1742573982,16:19:43,76.45
1742573983,16:19:44,70.9
1742573985,16:19:45,80
1742573986,16:19:46,65.34
1742573987,16:19:47,64.6
1742573988,16:19:48,76.5
1742573989,16:19:49,73.3
1742573990,16:19:50,68.26
1742573991,16:19:51,70.525
1742573992,16:19:52,78.125
1742573993,16:19:53,68.44
1742573994,16:19:54,66.74
1742573995,16:19:55,74.275
1742573996,16:19:56,75.975
1742573997,16:19:57,73
1742573998,16:19:58,76.375
1742573999,16:19:59,61.98462
1742574000,16:20:00,76.675
1742574001,16:20:01,73.3
1742574002,16:20:02,60
1742574003,16:20:03,76.725
1742574004,16:20:04,62.38462
1742574005,16:20:05,61.27692
1742574006,16:20:06,61.83077
1742574007,16:20:07,67.5
1742574008,16:20:08,66.9
1742574009,16:20:09,68.26
1742574010,16:20:10,65.6
1742574011,16:20:11,71.425
1742574012,16:20:12,78.1
1742574013,16:20:13,67.52
1742574014,16:20:14,75.075
1742574015,16:20:15,70.125
1742574016,16:20:17,56.3
1742574017,16:20:18,68.48
1742574018,16:20:19,77.95
1742574021,16:20:21,80
1742574022,16:20:22,79.025
1742574023,16:20:23,80
1742574024,16:20:24,79.325
1742574025,16:20:25,65.78
1742574026,16:20:26,70.175
1742574027,16:20:27,78.15
1742574028,16:20:28,77.225
1742574029,16:20:29,75.375
1742574030,16:20:30,76.325
1742574031,16:20:31,68.76
1742574032,16:20:32,73.3
1742574033,16:20:33,78.8
1742574034,16:20:34,71.85
1742574035,16:20:35,77.625
1742574036,16:20:36,77.225
1742574037,16:20:37,74.725
1742574038,16:20:38,75.225
1742574039,16:20:39,76.5
1742574040,16:20:40,78.475
1742574041,16:20:41,60.1
1742574042,16:20:42,78.975
1742574043,16:20:43,80
1742574044,16:20:44,73.325
1742574045,16:20:45,77.55
1742574046,16:20:46,73.25
1742574047,16:20:47,71.225
1742574048,16:20:48,78.9
1742574049,16:20:49,74.225
1742574050,16:20:50,77.95
1742574051,16:20:51,72.775
1742574052,16:20:52,70.875
1742574053,16:20:53,79.675
1742574054,16:20:54,71.8
1742574055,16:20:55,75.3
1742574056,16:20:56,76.825
1742574057,16:20:57,69.08
1742574058,16:20:58,80
1742574059,16:20:59,64.93846
1742574060,16:21:00,76.85
1742574061,16:21:01,75.15
1742574062,16:21:02,68.94
1742574063,16:21:03,80
1742574064,16:21:04,79.725
1742574065,16:21:05,73.575
1742574066,16:21:06,63.46154
1742574067,16:21:07,74.025
1742574068,16:21:08,80
1742574069,16:21:09,70.9
1742574070,16:21:10,67.42
1742574071,16:21:12,65.6
1742574072,16:21:13,79.25
1742574073,16:21:14,66.24
1742574074,16:21:15,73.025
1742574075,16:21:16,65.34
1742574076,16:21:17,76.925
1742574077,16:21:18,67.88
1742574078,16:21:19,80
1742574079,16:21:20,71.925
1742574080,16:21:21,75.775
1742574081,16:21:23,74.625
1742574084,16:21:24,70.775
1742574085,16:21:25,76.725
1742574086,16:21:26,69.16
1742574087,16:21:27,70.75
1742574088,16:21:28,72.85
1742574089,16:21:29,74.75
1742574090,16:21:30,74.925
1742574091,16:21:31,75.85
1742574092,16:21:32,80
1742574093,16:21:33,67.66
1742574094,16:21:34,69.8
1742574095,16:21:35,78.275
1742574096,16:21:36,72.275
1742574097,16:21:37,61.98462
1742574098,16:21:39,80
1742574099,16:21:40,80
1742574100,16:21:41,78.675
1742574101,16:21:42,79.025
1742574102,16:21:43,71.45
1742574103,16:21:44,72.55
1742574104,16:21:45,76.675
1742574105,16:21:46,70.175
1742574106,16:21:47,72.425
1742574107,16:21:48,75.625
1742574108,16:21:49,79.625
1742574109,16:21:50,66.84
1742574110,16:21:51,80
1742574111,16:21:52,76.975
1742574112,16:21:52,69.94
1742574113,16:21:54,80
1742574114,16:21:54,69.88
1742574115,16:21:56,68.16
1742574116,16:21:57,69.1
1742574117,16:21:58,64.2923
1742574118,16:21:59,71.375
1742574120,16:22:00,63.06154
1742574121,16:22:02,65.2
1742574122,16:22:03,68.16
1742574123,16:22:04,80
1742574124,16:22:05,67.56
1742574125,16:22:06,76.05
1742574126,16:22:07,78.95
1742574128,16:22:08,67.28
1742574129,16:22:09,74.1
1742574130,16:22:11,71.7
1742574132,16:22:13,66.12
1742574134,16:22:14,79.825
1742574135,16:22:16,60.3
1742574136,16:22:17,72.525
1742574138,16:22:19,72.275
1742574140,16:22:21,69.44
1742574143,16:22:23,78.075
1742574144,16:22:24,67.06
1742574145,16:22:25,67.86
1742574146,16:22:26,66.16
1742574147,16:22:27,70.975
1742574148,16:22:29,77.475
1742574149,16:22:30,78.775
1742574150,16:22:31,68.94
1742574151,16:22:32,73.475
1742574152,16:22:33,79.375
1742574153,16:22:34,65.16
1742574154,16:22:35,74.675
1742574155,16:22:36,71.925
1742574156,16:22:37,79.65
1742574158,16:22:38,71.325
1742574159,16:22:39,66.06
1742574160,16:22:40,79.2
1742574161,16:22:41,74.225
1742574162,16:22:43,70.525
1742574163,16:22:44,69.12
1742574165,16:22:45,67.38
1742574166,16:22:46,78.9
1742574167,16:22:47,80
1742574168,16:22:48,76.5
1742574169,16:22:50,69.06
1742574170,16:22:51,69.44
1742574171,16:22:52,67.22
1742574172,16:22:53,66.98
1742574173,16:22:54,76.85
1742574174,16:22:55,66.98
1742574176,16:22:56,67.82
1742574177,16:22:57,68.3
1742574178,16:22:59,68.38
1742574180,16:23:00,70.05
1742574181,16:23:01,74.15
1742574182,16:23:02,77.15
1742574183,16:23:03,78.5
1742574184,16:23:04,67.32
1742574185,16:23:05,66.36
1742574186,16:23:06,80
1742574187,16:23:07,75.15
1742574188,16:23:08,74.5
1742574189,16:23:09,75.05
1742574190,16:23:11,66.46
1742574191,16:23:12,70.9
1742574192,16:23:13,65.32
1742574194,16:23:14,79.75
1742574195,16:23:15,70.9
1742574196,16:23:16,77.7
1742574197,16:23:17,66.44
1742574198,16:23:18,66.06
1742574199,16:23:19,71.825
1742574200,16:23:20,66.44
1742574201,16:23:21,69.08
1742574202,16:23:22,78.15
1742574203,16:23:23,80
1742574204,16:23:24,68.34
1742574205,16:23:26,77.925
1742574206,16:23:26,64.72308
1742574207,16:23:27,80
1742574208,16:23:28,79.175
1742574209,16:23:30,66.92
1742574210,16:23:31,69.18
1742574212,16:23:32,71.45
1742574213,16:23:34,69.24
1742574214,16:23:35,65.64
1742574215,16:23:36,75.175
1742574216,16:23:37,69.44
1742574218,16:23:38,65.74
1742574219,16:23:39,69.76
1742574220,16:23:40,70.725
1742574221,16:23:41,67.24
1742574222,16:23:42,64.47692
1742574223,16:23:43,66.6
1742574224,16:23:44,66.76
1742574225,16:23:45,73.375
1742574226,16:23:46,70.475
1742574227,16:23:47,68.62
1742574228,16:23:48,78.9
1742574229,16:23:49,69.44
1742574230,16:23:50,70.35
1742574231,16:23:51,67.58
1742574232,16:23:52,69.88
1742574233,16:23:53,72.525
1742574234,16:23:54,74.425
1742574235,16:23:55,75.75
1742574236,16:23:56,64.44615
1742574237,16:23:57,79.475
1742574238,16:23:58,69.12
1742574239,16:23:59,66.34
1742574240,16:24:00,74.9
1742574241,16:24:01,72.1
1742574242,16:24:02,75.275
1742574243,16:24:03,74.375
1742574244,16:24:04,64.16923
1742574245,16:24:05,68.82
1742574246,16:24:06,64.44615
1742574247,16:24:07,66.88
1742574248,16:24:08,69.02
1742574249,16:24:09,71.375
1742574250,16:24:10,73.6
1742574251,16:24:11,80
1742574252,16:24:13,62.75385
1742574253,16:24:14,63.03077
1742574254,16:24:15,64.04615
1742574255,16:24:16,65.32
1742574256,16:24:17,74.1
1742574257,16:24:18,72.45
1742574258,16:24:19,73.325
1742574259,16:24:20,66.34
1742574261,16:24:21,66.9
1742574262,16:24:23,64.38461
1742574264,16:24:24,68.92
1742574265,16:24:25,64.53846
1742574266,16:24:26,66.34
1742574267,16:24:27,71.675
1742574268,16:24:28,72.65
1742574269,16:24:29,68.7
1742574270,16:24:30,70.2
1742574271,16:24:31,68.16
1742574272,16:24:32,73.15
1742574273,16:24:33,69.44
1742574274,16:24:34,73.075
1742574275,16:24:35,70.45
1742574276,16:24:36,78.9
1742574277,16:24:37,76.15
1742574278,16:24:39,72.625
1742574279,16:24:39,74.45
1742574280,16:24:41,67.78
1742574281,16:24:42,65.58
1742574282,16:24:43,65.56
1742574283,16:24:44,70.65
1742574284,16:24:45,74.2
1742574285,16:24:46,74.05
1742574286,16:24:47,74.775
1742574287,16:24:48,72.725
1742574288,16:24:49,66.14
1742574289,16:24:50,62.66154
1742574290,16:24:51,69.24
1742574291,16:24:52,68.04
1742574292,16:24:53,60.5
1742574294,16:24:54,70.9
1742574295,16:24:55,61
1742574296,16:24:56,61.03077
1742574297,16:24:58,64.44615
1742574298,16:24:59,61.92308
1742574299,16:25:00,61.27692
1742574300,16:25:01,67.54
1742574301,16:25:02,61.98462
1742574302,16:25:03,65.06
1742574303,16:25:04,71.225
1742574304,16:25:05,69.26
1742574305,16:25:06,74.45
1742574306,16:25:07,66.24
1742574307,16:25:08,80
1742574308,16:25:09,80
1742574309,16:25:10,73.85
1742574310,16:25:11,78.75
1742574311,16:25:12,73.675
1742574312,16:25:13,71.375
1742574314,16:25:14,75.3
1742574315,16:25:15,74.175
1742574316,16:25:16,72.45
1742574317,16:25:17,80
1742574318,16:25:18,76.65
1742574319,16:25:19,69.3
1742574320,16:25:20,65.96
1742574321,16:25:21,72.275
1742574322,16:25:22,64.78461
1742574323,16:25:23,65.34
1742574325,16:25:25,67.78
1742574326,16:25:26,63.61538
1742574327,16:25:27,74.175
1742574328,16:25:28,75.275
1742574329,16:25:29,66.64
1742574330,16:25:30,75.775
1742574331,16:25:31,66.84
1742574332,16:25:32,68.8
1742574333,16:25:33,67.52
1742574334,16:25:34,69.82
1742574335,16:25:36,65.16
1742574336,16:25:37,74.5
1742574337,16:25:38,69.94
1742574338,16:25:39,76.075
1742574339,16:25:40,79.575
1742574340,16:25:41,66.94
1742574341,16:25:42,79.975
1742574342,16:25:43,68.54
1742574343,16:25:44,67.52
1742574344,16:25:45,74.9
1742574345,16:25:46,63.4
1742574346,16:25:47,65.94
1742574348,16:25:48,80
1742574349,16:25:49,67.82
1742574350,16:25:50,79.325
1742574351,16:25:51,74.575
1742574352,16:25:52,72.875
1742574353,16:25:53,73.675
1742574354,16:25:54,63.43077
1742574355,16:25:55,66.26
1742574356,16:25:56,61
1742574357,16:25:57,70.4
1742574358,16:25:59,74.9
1742574359,16:26:00,69.44
1742574360,16:26:01,73.15
1742574361,16:26:02,62.69231
1742574362,16:26:03,80
1742574363,16:26:04,78.875
1742574364,16:26:05,80
1742574365,16:26:06,72.275
1742574366,16:26:07,57.65
1742574367,16:26:08,62.75385
1742574368,16:26:09,80
1742574369,16:26:10,80
1742574370,16:26:11,80
1742574371,16:26:12,78.85
1742574373,16:26:14,69.18
1742574375,16:26:15,68.6
1742574376,16:26:16,71.65
1742574377,16:26:17,70.8
1742574378,16:26:19,76.9
1742574379,16:26:20,75.175
1742574380,16:26:21,61.98462
1742574381,16:26:22,61.18462
1742574383,16:26:23,73.225
1742574384,16:26:24,61.18462
1742574385,16:26:25,66.66
1742574386,16:26:26,80
1742574387,16:26:27,65.9
1742574388,16:26:29,74.25
1742574389,16:26:30,73.475
1742574390,16:26:31,67.08
1742574391,16:26:32,60.7
1742574392,16:26:33,61.70769
1742574394,16:26:34,69.18
1742574395,16:26:35,57.65
1742574396,16:26:36,64.90769
1742574397,16:26:37,76.1
1742574398,16:26:38,70.9
1742574399,16:26:39,62.26154
1742574400,16:26:40,69.98
1742574401,16:26:41,69.66
1742574402,16:26:42,71.75
1742574403,16:26:43,75.25
1742574404,16:26:44,58.25
1742574405,16:26:45,64.78461
1742574406,16:26:46,79.275
1742574407,16:26:47,68.26
1742574408,16:26:48,63.73846
1742574409,16:26:49,59.1
1742574410,16:26:50,61.46154
1742574411,16:26:51,64.90769
1742574412,16:26:52,76.125
1742574413,16:26:53,64.93846
1742574414,16:26:54,66.8
1742574415,16:26:56,67
1742574416,16:26:56,75.675
1742574417,16:26:58,77.2
1742574418,16:26:59,67.82
1742574419,16:27:00,65.32
1742574420,16:27:01,70.5
1742574421,16:27:02,66.98
1742574422,16:27:03,67.56
1742574423,16:27:04,66.2
1742574424,16:27:05,78.825
1742574425,16:27:06,65.62
1742574426,16:27:07,80
1742574427,16:27:08,70.075
1742574428,16:27:09,79.375
1742574429,16:27:10,65.58
1742574430,16:27:11,65.22
1742574431,16:27:12,71.075
1742574432,16:27:13,74.85
1742574433,16:27:14,79.775
1742574435,16:27:15,72.975
1742574436,16:27:16,67.08
1742574437,16:27:17,73.325
1742574438,16:27:18,78.1
1742574439,16:27:19,62.13846
1742574440,16:27:20,65.6
1742574441,16:27:21,61.98462
1742574442,16:27:23,64.41538
1742574444,16:27:24,69.38
1742574446,16:27:26,76.45
1742574447,16:27:27,80
1742574448,16:27:28,80
1742574449,16:27:29,67.7
1742574450,16:27:30,80
1742574451,16:27:31,69.54
1742574452,16:27:32,75.075
1742574453,16:27:33,74.025
1742574454,16:27:34,72.25
1742574455,16:27:35,80
1742574456,16:27:36,73.975
1742574457,16:27:37,76.1
1742574458,16:27:38,80
1742574459,16:27:39,77.7
1742574460,16:27:40,62.96923
1742574461,16:27:41,66.76
1742574462,16:27:42,57.35
1742574463,16:27:43,57.95
1742574464,16:27:44,62.44616
1742574465,16:27:46,58.4
1742574466,16:27:47,64.13846
1742574467,16:27:48,68.38
1742574468,16:27:49,69.16
1742574469,16:27:50,66.18
1742574470,16:27:51,72.525
1742574471,16:27:52,72.775
1742574472,16:27:53,61.09231
1742574473,16:27:54,62.29231
1742574474,16:27:54,65.74
1742574475,16:27:56,67.34
1742574479,16:27:59,68.86
1742574480,16:28:00,63.03077
1742574481,16:28:01,64.2923
1742574482,16:28:02,76.5
1742574483,16:28:04,70.175
1742574484,16:28:05,62.29231
